Type,OpCo,Plant,Customer,Delivery Date,Movement,Industry,Material_Group
M,North America,US01,200457,2015-08-10,226.796,2231,2007072
M,North America,US01,100380,2016-01-06,18.144,2231,2007693
M,North America,US01,100010,2016-02-24,226.796,2231,2007368
M,North America,US01,100380,2017-05-02,18.144,2231,2007693
M,North America,US01,200456,2017-09-29,226.796,2231,2007072
M,North America,US01,200456,2015-10-05,226.796,2231,2007072
M,North America,US01,200456,2015-11-25,226.796,2231,2007072
M,North America,US01,200456,2015-12-02,226.796,2231,2007072
M,North America,US01,200456,2016-04-01,226.796,2231,2007072
M,North America,US01,200456,2016-06-06,226.796,2231,2007072
M,North America,US01,200456,2016-07-12,226.796,2231,2007072
M,North America,US01,200456,2016-09-20,226.796,2231,2007072
M,North America,US01,200456,2016-09-26,226.796,2231,2007072
M,North America,US01,200456,2016-10-26,226.796,2231,2007072
M,North America,US01,200456,2017-03-07,226.796,2231,2007072
M,North America,US01,200456,2017-05-23,226.796,2231,2007072
M,North America,US01,200456,2017-07-21,226.796,2231,2007072
M,North America,US01,202629,2017-09-27,226.796,2013,2007072
M,North America,US01,202629,2017-10-05,226.796,2013,2007072
M,North America,US01,202629,2017-11-08,226.796,2013,2007072
M,North America,US01,202629,2016-12-19,226.796,2013,2007072
M,North America,US01,202629,2017-02-17,226.796,2013,2007072
M,North America,US01,202629,2017-04-12,226.796,2013,2007072
M,North America,US01,202629,2017-04-14,226.796,2013,2007072
M,North America,US01,202360,2015-09-18,18.144,2013,2007693
M,North America,US01,200597,2016-06-14,18.144,2013,2019023
M,North America,US01,101869,2017-01-10,18.144,2013,2019023
M,North America,US01,100252,2017-09-21,226.796,2232,2007072
M,North America,US01,100252,2017-10-31,226.796,2232,2007072
M,North America,US01,100252,2017-12-15,226.796,2232,2007072
M,North America,US01,100252,2018-01-08,226.796,2232,2007072
M,North America,US01,100252,2018-02-08,226.796,2232,2007072
M,North America,US01,200354,2015-09-15,226.796,2232,2007072
M,North America,US01,100252,2017-04-05,226.796,2232,2007072
M,North America,US01,200182,2016-04-26,226.796,4149,2011382
M,North America,US01,200760,2016-06-29,226.796,4149,2011382
M,North America,US01,200760,2016-10-12,226.796,4149,2011382
M,North America,US01,200182,2017-05-02,226.796,4149,2011382
M,North America,US01,200760,2017-05-11,226.796,4149,2011382
M,North America,US01,200760,2017-09-06,226.796,4149,2011382
M,North America,US01,203833,2020-06-25,226.796,4149,2011382
M,North America,US01,ONETIME,2015-10-20,18.144,1003,2015023
M,North America,US01,ONETIME,2016-03-09,18.144,1003,2015023
M,North America,US01,100120,2016-06-07,18.144,3025,2015540
M,North America,US01,201435,2016-08-01,18.144,1003,2020978
M,North America,US01,200760,2016-03-16,226.796,4149,2011382
M,North America,US01,200354,2015-10-02,226.796,2232,2007072
M,North America,US01,201484,2015-08-31,226.796,1004,2017507
M,North America,US01,201484,2016-02-25,226.796,1004,2017507
M,North America,US01,201484,2016-08-24,226.796,1004,2017507
M,North America,US01,201484,2017-02-08,226.796,1004,2017507
M,North America,US01,202429,2018-03-14,952.543,2013,2007683
M,North America,US01,202429,2018-05-15,952.543,2013,2007683
M,North America,US01,202429,2018-05-23,952.543,2013,2007683
M,North America,US01,103217,2018-05-31,952.543,2013,2007683
M,North America,US01,103217,2018-06-15,952.543,2013,2007683
M,North America,US01,200470,2021-04-12,952.543,2013,2007683
M,North America,US01,103276,2018-05-04,226.796,2013,2007072
M,North America,US01,ONETIME,2019-09-27,18.144,2013,2021551
M,North America,US01,105844,2021-08-06,226.796,2013,2011382
M,North America,US01,200456,2018-03-27,226.796,2231,2007072
M,North America,US01,200456,2018-06-27,226.796,2231,2007072
M,North America,US01,200456,2018-08-14,226.796,2231,2007072
M,North America,US01,100252,2018-03-20,226.796,2232,2007072
M,North America,US01,203070,2018-04-23,226.796,4149,2011382
M,North America,US01,200760,2018-09-11,226.796,4149,2011382
M,North America,US01,200760,2018-12-12,226.796,4149,2011382
M,North America,US01,203070,2019-03-18,226.796,4149,2011382
M,North America,US01,203070,2019-07-31,226.796,4149,2011382
M,North America,US01,104479,2020-05-28,226.796,4149,2011382
M,North America,US01,104479,2020-07-15,226.796,4149,2011382
M,North America,US01,104479,2020-08-31,226.796,4149,2011382
M,North America,US01,203387,2020-08-31,226.796,4149,2011382
M,North America,US01,105514,2020-10-22,226.796,4149,2011382
M,North America,US01,105514,2021-03-22,226.796,4149,2011382
M,North America,US01,203070,2021-03-31,226.796,4149,2011382
M,North America,US01,200858,2021-04-19,226.796,4149,2011382
M,North America,US01,203387,2021-07-19,226.796,4149,2011382
M,North America,US01,205003,2021-07-29,18.144,5000,2020978
M,North America,US01,200162,2021-09-24,226.796,4149,2011382
M,North America,US01,105514,2021-09-29,226.796,4149,2011382
M,North America,US01,105514,2021-10-20,226.796,4149,2011382
M,North America,US01,201093,2018-03-13,952.543,4345,2012868
M,North America,US01,201145,2019-03-13,18.144,2222,2007693
M,North America,US01,200986,2022-06-17,952.543,4345,2012868
M,North America,US01,201329,2022-09-19,226.796,2019,2014689
M,North America,US01,100574,2019-08-27,952.543,2013,2007683
M,North America,US01,203046,2018-02-22,226.796,4149,2007321
M,North America,US01,200662,2018-04-13,226.796,4149,2007321
M,North America,US01,203102,2018-12-11,226.796,4149,2007321
M,North America,US01,201484,2018-03-05,226.796,1004,2017507
M,North America,US01,202429,2017-10-04,952.543,2013,2007683
M,North America,US01,202429,2017-11-27,952.543,2013,2007683
M,North America,US01,202429,2018-02-07,952.543,2013,2007683
M,North America,US01,202429,2018-02-19,952.543,2013,2007683
M,North America,US01,100503,2015-09-25,952.543,2013,2007683
M,North America,US01,202429,2016-03-23,952.543,2013,2007683
M,North America,US01,202429,2017-06-22,952.543,2013,2007683
M,North America,US01,202429,2017-07-12,952.543,2013,2007683
M,North America,US01,200470,2020-06-18,952.543,2013,2007683
M,North America,US01,100616,2017-09-18,952.543,4345,2012868
M,North America,US01,200827,2017-10-12,952.543,4345,2012868
M,North America,US01,200827,2015-09-01,952.543,4345,2012868
M,North America,US01,100616,2016-04-01,952.543,4345,2012868
M,North America,US01,200827,2016-05-10,952.543,4345,2012868
M,North America,US01,100616,2016-07-21,952.543,4345,2012868
M,North America,US01,200827,2016-09-23,952.543,4345,2012868
M,North America,US01,100616,2016-10-27,952.543,4345,2012868
M,North America,US01,200827,2017-04-26,952.543,4345,2012868
M,North America,US01,100616,2017-06-21,952.543,4345,2012868
M,North America,US01,200827,2017-07-24,952.543,4345,2012868
M,North America,US01,201045,2016-03-16,952.543,4345,2012868
M,North America,US01,202482,2016-03-28,498.951,4149,2020028
M,North America,US01,202429,2019-01-07,952.543,2014,2007683
M,North America,US01,202429,2019-03-27,952.543,2014,2007683
M,North America,US01,202429,2019-06-24,952.543,2014,2007683
M,North America,US01,202429,2019-09-11,952.543,2014,2007683
M,North America,US01,202429,2019-10-23,952.543,2014,2007683
M,North America,US01,202429,2019-12-31,952.543,2014,2007683
M,North America,US01,202429,2020-03-06,952.543,2013,2007683
M,North America,US01,202429,2020-05-05,952.543,2013,2007683
M,North America,US01,202429,2020-06-02,952.543,2013,2007683
M,North America,US01,100543,2020-07-29,952.543,2013,2007683
M,North America,US01,202429,2020-08-14,952.543,2013,2007683
M,North America,US01,202429,2020-11-10,952.543,2013,2007683
M,North America,US01,202429,2021-01-07,952.543,2013,2007683
M,North America,US01,202429,2021-04-01,952.543,2013,2007683
M,North America,US01,100543,2021-06-28,952.543,2013,2007683
M,North America,US01,202429,2021-07-26,952.543,2013,2007683
M,North America,US01,202429,2021-10-05,952.543,2013,2007683
M,North America,US01,202429,2021-11-03,952.543,2013,2007683
M,North America,US01,202429,2022-03-29,952.543,2019,2007683
M,North America,US01,202429,2022-06-10,952.543,2019,2007683
M,North America,US01,204753,2022-03-08,952.543,1003,2022115
M,North America,US01,101895,2022-08-12,952.543,1003,2021762
M,North America,US01,101895,2022-08-12,952.543,1003,2022115
M,North America,US01,201102,2022-08-17,952.543,1003,2022115
M,North America,US01,202300,2019-03-12,952.543,5000,2021762
M,North America,US01,100616,2018-03-01,952.543,4345,2012868
M,North America,US01,200827,2018-05-10,952.543,4345,2012868
M,North America,US01,200237,2018-05-11,952.543,4345,2012868
M,North America,US01,200827,2018-07-06,952.543,4345,2012868
M,North America,US01,100616,2018-07-13,952.543,4345,2012868
M,North America,US01,200827,2018-08-31,952.543,4345,2012868
M,North America,US01,200827,2019-01-17,952.543,4345,2012868
M,North America,US01,200827,2019-03-07,952.543,4345,2012868
M,North America,US01,200827,2019-06-05,952.543,4345,2012868
M,North America,US01,100616,2019-06-12,952.543,4345,2012868
M,North America,US01,100616,2019-09-05,952.543,4345,2012868
M,North America,US01,200827,2019-12-26,952.543,4345,2012868
M,North America,US01,200237,2020-03-17,952.543,4345,2012868
M,North America,US01,200827,2020-04-06,952.543,4345,2012868
M,North America,US01,200827,2020-05-01,952.543,4345,2012868
M,North America,US01,100616,2020-05-06,952.543,4345,2012868
M,North America,US01,100616,2020-08-07,952.543,4345,2012868
M,North America,US01,201142,2020-08-14,952.543,4345,2012868
M,North America,US01,200827,2020-09-03,952.543,4345,2012868
M,North America,US01,200827,2020-12-10,952.543,4345,2012868
M,North America,US01,200237,2021-04-09,952.543,4345,2012868
M,North America,US01,200827,2021-04-21,952.543,4345,2012868
M,North America,US01,200827,2021-06-10,952.543,4345,2012868
M,North America,US01,200827,2021-07-30,952.543,4345,2012868
M,North America,US01,200827,2021-11-09,952.543,4345,2012868
M,North America,US01,200827,2021-11-24,952.543,4345,2012868
M,North America,US01,201142,2021-12-20,952.543,4345,2012868
M,North America,US01,100616,2022-02-10,952.543,4345,2012868
M,North America,US01,200237,2022-04-29,952.543,4345,2012868
M,North America,US01,100616,2022-05-19,952.543,4345,2012868
M,North America,US01,203328,2022-06-17,952.543,4345,2012868
M,North America,US01,200827,2022-06-17,952.543,4345,2012868
M,North America,US01,200827,2022-09-02,952.543,4345,2012868
M,North America,US01,202429,2022-05-05,952.543,2019,2007683
M,North America,US01,203102,2018-05-22,181.437,4149,2007321
M,North America,US01,200470,2019-11-20,952.543,2013,2007683
M,North America,US01,202429,2022-02-07,952.543,2019,2007683
M,North America,US01,100616,2022-09-22,952.543,4345,2012868
M,North America,US01,201439,2022-09-30,952.543,1003,2022115
M,North America,US01,101680,2016-05-05,1088.621,1003,2017620
M,North America,US01,201101,2018-06-01,1088.621,1004,2016060
M,North America,US01,200240,2015-09-04,1088.621,2013,2007175
M,North America,US01,200240,2015-10-22,1088.621,2013,2007175
M,North America,US01,201161,2016-01-06,1088.621,2013,2007175
M,North America,US01,201090,2016-02-23,1088.621,2013,2007175
M,North America,US01,201090,2016-04-13,1088.621,2013,2007175
M,North America,US01,201090,2016-08-22,1088.621,2013,2007175
M,North America,US01,201090,2017-03-23,1088.621,2013,2007175
M,North America,US01,201079,2017-07-21,916.256,1004,2014689
M,North America,US01,BE01,2017-11-03,1088.621,5000,2007175
M,North America,US01,200562,2017-12-04,181.437,4149,2007321
M,North America,US01,200703,2015-08-21,1088.621,4355,2007175
M,North America,US01,200703,2015-10-19,1088.621,4355,2007175
M,North America,US01,200703,2016-01-27,1088.621,4355,2007175
M,North America,US01,200703,2016-03-09,1088.621,4355,2007175
M,North America,US01,200703,2016-06-08,1088.621,4355,2007175
M,North America,US01,200703,2016-10-18,1088.621,4355,2007175
M,North America,US01,200703,2016-10-31,1088.621,4355,2007175
M,North America,US01,200703,2016-12-07,1088.621,4355,2007175
M,North America,US01,200703,2017-01-09,1088.621,4355,2007175
M,North America,US01,200703,2017-03-13,1088.621,4355,2007175
M,North America,US01,200703,2017-06-06,1088.621,4355,2007175
M,North America,US01,200703,2017-06-13,1088.621,4355,2007175
M,North America,US01,200703,2017-06-20,1088.621,4355,2007175
M,North America,US01,200703,2017-06-28,1088.621,4355,2007175
M,North America,US01,100344,2017-09-20,1088.621,2014,2007175
M,North America,US01,100344,2017-09-29,1088.621,2014,2007175
M,North America,US01,100344,2017-10-23,1088.621,2014,2007175
M,North America,US01,100344,2017-11-20,1088.621,2014,2007175
M,North America,US01,201318,2018-01-19,1088.621,2014,2007175
M,North America,US01,100204,2016-03-15,1088.621,2231,2016766
M,North America,US01,101872,2019-05-01,1088.621,4345,2021536
M,North America,US01,201177,2019-05-02,1088.621,4345,2021536
M,North America,US01,201391,2019-05-03,1088.621,4345,2021536
M,North America,US01,201391,2020-07-08,1088.621,4345,2021536
M,North America,US01,201177,2020-07-15,1088.621,4345,2021536
M,North America,US01,201093,2020-10-20,1088.621,4345,2021536
M,North America,US01,203054,2020-11-12,1088.621,4345,2021536
M,North America,US01,101872,2020-11-23,1088.621,4345,2021536
M,North America,US01,201391,2020-12-10,1088.621,4345,2021536
M,North America,US01,201093,2020-12-21,1088.621,4345,2021536
